J, Xi, Mu_f 
0.0,0.0,-0.37499999999999994,
0.01,1.6694654233502118e-11,-0.37499999999999994,
0.02,2.8915262349975458e-11,-0.37499999999999994,
0.03,4.691195669747326e-11,-0.37499999999999994,
0.04,5.429365531566141e-11,-0.37499999999999994,
0.05,7.345098274913942e-11,-0.37499999999999994,
0.06,9.54147026776415e-11,-0.37499999999999994,
0.07,9.699901435341567e-11,-0.37499999999999994,
0.08,1.2015448565243906e-10,-0.37499999999999994,
0.09,1.4648852850063941e-10,-0.37499999999999994,
0.1,1.4233101710536076e-10,-0.37499999999999994,
0.11,1.6981663798646203e-10,-0.37499999999999994,
0.12,2.0111807571850659e-10,-0.37499999999999994,
0.13,1.9116547329217417e-10,-0.37499999999999994,
0.14,2.2333933635179943e-10,-0.37499999999999994,
0.15000000000000002,2.5955747047338283e-10,-0.37499999999999994,
0.16,2.434486324179343e-10,-0.37499999999999994,
0.17,2.807988632814573e-10,-0.37499999999999994,
0.18,2.6231831980484937e-10,-0.37499999999999994,
0.19,3.0086848524069807e-10,-0.37499999999999994,
0.2,3.4394587839224827e-10,-0.37499999999999994,
0.21000000000000002,3.1964528901773324e-10,-0.37499999999999994,
0.22,3.65385621869201e-10,-0.37499999999999994,
0.23,3.396601102386691e-10,-0.37499999999999994,
0.24,3.8636431925737287e-10,-0.37499999999999994,
0.25,4.3865055537314316e-10,-0.37499999999999994,
0.26,4.059146556390897e-10,-0.37499999999999994,
0.27,4.599200682861622e-10,-0.37499999999999994,
0.27999999999999997,4.2757795621451525e-10,-0.37499999999999994,
0.29,4.84328488618787e-10,-0.37499999999999994,
0.3,5.475833680437469e-10,-0.37499999999999994,
0.31,5.068014411145889e-10,-0.37499999999999994,
0.32,5.710488794228145e-10,-0.37499999999999994,
0.33,5.287440367378026e-10,-0.37499999999999994,
0.34,5.970516539676776e-10,-0.37499999999999994,
0.35,5.53169994805979e-10,-0.37499999999999994,
0.36,6.233208207292095e-10,-0.37499999999999994,
0.37,7.028446566993303e-10,-0.37499999999999994,
0.38,6.522966268157795e-10,-0.37499999999999994,
0.39,7.347735973161327e-10,-0.37499999999999994,
0.4,6.854244501858525e-10,-0.37499999999999994,
0.41000000000000003,7.700592215628748e-10,-0.37499999999999994,
0.42000000000000004,7.187660152041001e-10,-0.37499999999999994,
0.43000000000000005,8.113833234554206e-10,-0.37499999999999994,
0.44,7.589557028460588e-10,-0.37499999999999994,
0.45,8.540569545210655e-10,-0.37499999999999994,
0.46,7.94039002461213e-10,-0.37499999999999994,
0.47000000000000003,8.939379778306084e-10,-0.37499999999999994,
0.48,8.395078953991718e-10,-0.37499999999999994,
0.49,9.477257144582257e-10,-0.37499999999999994,
0.5,8.886266422817666e-10,-0.37499999999999994,
0.51,9.974185490478554e-10,-0.37499999999999994,
0.52,9.415277985682108e-10,-0.37499999999999994,
0.53,1.072894950334897e-09,-0.37499999999999994,
0.54,1.0116885755496715e-09,-0.37499999999999994,
0.55,9.579766323161673e-10,-0.37499999999999994,
0.56,1.085586035237464e-09,-0.37499999999999994,
0.5700000000000001,1.0243731051410437e-09,-0.37499999999999994,
0.5800000000000001,1.1530189604825885e-09,-0.37499999999999994,
0.5900000000000001,1.094376580692017e-09,-0.37499999999999994,
0.6000000000000001,1.23991609508691e-09,-0.37499999999999994,
0.6100000000000001,1.1917912938797619e-09,-0.37499999999999994,
0.6200000000000001,1.149010550816449e-09,-0.37499999999999994,
0.6300000000000001,1.3058121747379406e-09,-0.37499999999999994,
