J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.5035198790347615e-08,-0.002646652411203804,
0.002,2.912745534278251e-08,-0.002646652411203804,
0.003,4.438746291510149e-08,-0.002646652411203804,
0.004,6.307804538514862e-08,-0.002646652411203804,
0.005,8.820081291042204e-08,-0.002646652411203804,
0.006,1.0431673687471215e-07,-0.002646652411203804,
0.007,1.2806778223982076e-07,-0.002646652411203804,
0.008,1.64655805258501e-07,-0.002646652411203804,
0.009000000000000001,1.915976773516438e-07,-0.002646652411203804,
0.01,2.0767032545971784e-07,-0.002646652411203804,
0.011,2.476770541798717e-07,-0.002646652411203804,
0.012,2.875427837519807e-07,-0.002646652411203804,
0.013000000000000001,3.3582613003348295e-07,-0.002646652411203804,
0.014,4.0994514338949164e-07,-0.002646652411203804,
0.015,4.421040193446758e-07,-0.002646652411203804,
0.016,5.224211515841395e-07,-0.002646652411203804,
0.017,5.897914889104592e-07,-0.002646652411203804,
0.018000000000000002,6.485753943551772e-07,-0.002646652411203804,
0.019,7.933681142768213e-07,-0.002646652411203804,
0.02,9.102190382049547e-07,-0.002646652411203804,
0.021,0.30850253148278506,-0.002646652411203804,
0.022,0.4357417426079448,-0.002646652411203804,
0.023,0.5601226751543243,-0.002646652411203804,
0.024,0.681130524556778,-0.002646652411203804,
0.025,0.7988513954851603,-0.002646652411203804,
0.026000000000000002,0.9135252324171856,-0.002646652411203804,
0.027,1.0254194718633851,-0.002646652411203804,
0.028,1.1347978642988135,-0.002646652411203804,
0.029,1.2418963109689665,-0.002646652411203804,
0.03,1.3469287897089064,-0.002646652411203804,
0.031,1.450085707925466,-0.002646652411203804,
0.032,1.5515363181422444,-0.002646652411203804,
0.033,1.6514307422044026,-0.002646652411203804,
0.034,1.749902467085525,-0.002646652411203804,
0.035,1.8470704131621107,-0.002646652411203804,
0.036000000000000004,1.943040641106697,-0.002646652411203804,
0.037,2.037908102991454,-0.002646652411203804,
0.038,2.131757985900394,-0.002646652411203804,
0.039,2.22466695692029,-0.002646652411203804,
