M1_c,M1_f,M2_c,M2_f,j,xi1_down,xi1_up,xi2_down,xi2_up
(0.0007832057485739003+0j),(-0.0007832057485738371+0j),(0.0019466822869847588+0j),(-0.0007832057485738413+0j),2.0,(0.504741648514077+0j),(0.5046362006601302+0j),(0.5047416485140758+0j),(0.5046362006601287+0j),
(-0.0011590440196028238+0j),(0.001159044019603064+0j),(-0.000808099129132173+0j),(0.0011590440196030687+0j),2.02,(0.5147919348675042+0j),(0.5146935379279788+0j),(0.5147919348675042+0j),(0.5146935379279788+0j),
(0.0010720389393603506+0j),(-0.001072038939360165+0j),(0.000707359108418952+0j),(-0.001072038939360155+0j),2.04,(0.5213421968996943+0j),(0.5214402549014362+0j),(0.5213421968996943+0j),(0.5214402549014362+0j),
(-0.0006418005405646697+0j),(0.0006418005405647424+0j),(-0.002506482446653799+0j),(0.0006418005405647413+0j),2.06,(0.5305746999942743+0j),(0.5307865217095726+0j),(0.5305746999942744+0j),(0.5307865217095726+0j),
(0.000993715969861482+0j),(-0.0009937159698616914+0j),(-0.0015425733301753192+0j),(-0.0009937159698616917+0j),2.08,(0.5382827201350077+0j),(0.5386505992121509+0j),(0.5382827201350072+0j),(0.5386505992121504+0j),
(0.0011011949006725467+0j),(-0.0011011949006727376+0j),(-0.0015917386534362828+0j),(-0.001101194900672746+0j),2.1,(0.5457198712705426+0j),(0.5461127437024663+0j),(0.5457198712705431+0j),(0.5461127437024671+0j),
(0.0006846946177867161+0j),(-0.0006846946177868619+0j),(-0.0025220897631563063+0j),(-0.0006846946177868633+0j),2.12,(0.5524258492070299+0j),(0.5528626967815277+0j),(0.5524258492070317+0j),(0.5528626967815296+0j),
(-0.0006427791696192904+0j),(0.0006427791696192568+0j),(-0.002332435015932891+0j),(0.000642779169619252+0j),2.14,(0.5594601348558095+0j),(0.5596449385457197+0j),(0.5594601348558093+0j),(0.5596449385457192+0j),
(0.0009857716431697621+0j),(-0.0009857716431696164+0j),(0.0026121936403571836+0j),(-0.0009857716431696025+0j),3.6,(1.1428701813099331+0j),(1.1426966501101214+0j),(1.1428701813099331+0j),(1.1426966501101214+0j),
(0.0010828476728709671+0j),(-0.0010828476728712278+0j),(0.002520425928528002+0j),(-0.0010828476728712317+0j),3.62,(1.1530662540340106+0j),(1.1529160155213816+0j),(1.1530662540340109+0j),(1.1529160155213816+0j),
(0.0010885092755164739+0j),(-0.0010885092755163045+0j),(0.0025522917265067475+0j),(-0.0010885092755163032+0j),3.64,(1.1611087015053752+0j),(1.1609550450203012+0j),(1.1611087015053752+0j),(1.1609550450203012+0j),
(6.97163686315323e-06+0j),(-7.569551156955105e-06+0j),(0.0003298296340121951+0j),(-9.880374873485527e-05+0j),3.66,(2.253047421751443+0j),(2.25305011136109+0j),(0.0011595729906488004+0j),(0.0011247303603729014+0j),
(5.978382163913944e-07+0j),(-5.980644361938335e-07+0j),(0.00011684432827039013+0j),(-0.0001805142901755349+0j),3.68,(2.2665321851828923+0j),(2.266532418744984+0j),(0.0006630963466248752+0j),(0.0006827572987692303+0j),
(-0.0011029263819414992+0j),(0.0011029263819419585+0j),(-0.0011903489418510014+0j),(0.0011029263819419598+0j),3.7,(1.1815735284219704+0j),(1.1815460111761782+0j),(1.1815735284219697+0j),(1.1815460111761775+0j),
(-0.0013915684739949103+0j),(0.0013915684739953815+0j),(0.0003452583939959306+0j),(0.0013915684739953778+0j),3.72,(1.1894938140352935+0j),(1.1892244024072294+0j),(1.189493814035294+0j),(1.1892244024072298+0j),
(0.0011388909118863557+0j),(-0.001138890911886164+0j),(0.002612644557771555+0j),(-0.0011388909118861573+0j),3.74,(1.2015772645125247+0j),(1.2014221547279038+0j),(1.2015772645125253+0j),(1.201422154727904+0j),
