J, Xi, Mu_f 
0.0,0.0,6.938893903907228e-17,
0.02,1.283163003806828e-08,6.938893903907228e-17,
0.04,0.0024930913470347796,6.938893903907228e-17,
0.06,0.004379660845537246,6.938893903907228e-17,
0.08,0.006073559379066668,6.938893903907228e-17,
0.1,0.007781170536967074,6.938893903907228e-17,
0.12,0.009565282460143537,6.938893903907228e-17,
0.14,0.0114599750273805,6.938893903907228e-17,
0.16,0.013492380483211242,6.938893903907228e-17,
0.18,0.015687498453563292,6.938893903907228e-17,
0.2,0.018071921191232035,6.938893903907228e-17,
0.22,0.020680797706638995,6.938893903907228e-17,
0.24,0.02356267496978719,6.938893903907228e-17,
0.26,0.02677564806733665,6.938893903907228e-17,
0.28,0.030375741888362725,6.938893903907228e-17,
0.30000000000000004,0.03440559659115015,6.938893903907228e-17,
0.32,0.03889178134925148,6.938893903907228e-17,
0.34,0.043850907071317675,6.938893903907228e-17,
0.36,0.049297037837479275,6.938893903907228e-17,
0.38,0.05524315476939168,6.938893903907228e-17,
0.4,0.06169575535518995,6.938893903907228e-17,
0.42000000000000004,0.06864865033400237,6.938893903907228e-17,
0.44,0.07608265928985591,6.938893903907228e-17,
0.46,0.08397182986884066,6.938893903907228e-17,
0.48,0.0922917461967963,6.938893903907228e-17,
0.5,0.10102554016671053,6.938893903907228e-17,
0.52,0.11016575189316354,6.938893903907228e-17,
0.54,0.11971230251629357,6.938893903907228e-17,
0.5599999999999999,0.1296681240066429,6.938893903907228e-17,
0.58,0.14003445669590517,6.938893903907228e-17,
0.6,0.15080749755159253,6.938893903907228e-17,
0.62,0.16197713002290293,6.938893903907228e-17,
0.64,0.17352751435423383,6.938893903907228e-17,
0.66,0.18543873747617465,6.938893903907228e-17,
0.68,0.19768870238411484,6.938893903907228e-17,
0.7,0.21025470281580694,6.938893903907228e-17,
0.72,0.22311449092726413,6.938893903907228e-17,
0.74,0.23624689261215984,6.938893903907228e-17,
0.76,0.24963209300992087,6.938893903907228e-17,
0.78,0.2632517321092241,6.938893903907228e-17,
0.8,0.27708889265512526,6.938893903907228e-17,
0.8200000000000001,0.29112802722819187,6.938893903907228e-17,
0.8400000000000001,0.3053548629118189,6.938893903907228e-17,
0.8600000000000001,0.3197562918084698,6.938893903907228e-17,
0.88,0.3343202630711501,6.938893903907228e-17,
0.9,0.34903567444710076,6.938893903907228e-17,
0.92,0.36389227632783216,6.938893903907228e-17,
0.9400000000000001,0.37888058216660014,6.938893903907228e-17,
0.96,0.39399179149601254,6.938893903907228e-17,
0.98,0.4092177172677374,6.938893903907228e-17,
1.0,0.4245507290001025,6.938893903907228e-17,
1.02,0.43998369706943463,6.938893903907228e-17,
1.04,0.4555099484774987,6.938893903907228e-17,
1.06,0.4711232287519669,6.938893903907228e-17,
1.08,0.48681766449839864,6.938893903907228e-17,
1.1,0.5025877366249865,6.938893903907228e-17,
1.12,0.518428252700804,6.938893903907228e-17,
1.1400000000000001,0.5343343226369474,6.938893903907228e-17,
1.1600000000000001,0.5503013409970717,6.938893903907228e-17,
1.1800000000000002,0.5663249652552327,6.938893903907228e-17,
1.2000000000000002,0.5824011021100173,6.938893903907228e-17,
1.2200000000000002,0.5985258907061771,6.938893903907228e-17,
1.2400000000000002,0.6146956896440355,6.938893903907228e-17,
1.2600000000000002,0.6309070627659623,6.938893903907228e-17,
