J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.7355815627123174e-08,-0.002646652411203804,
0.002,3.500775762155183e-08,-0.002646652411203804,
0.003,5.5667862011913355e-08,-0.002646652411203804,
0.004,8.26964779107049e-08,-0.002646652411203804,
0.005,1.0119285927697995e-07,-0.002646652411203804,
0.006,1.271135238602171e-07,-0.002646652411203804,
0.007,1.6602654909389467e-07,-0.002646652411203804,
0.008,1.9494214215101969e-07,-0.002646652411203804,
0.009000000000000001,2.1222503777680022e-07,-0.002646652411203804,
0.01,2.5301884617763575e-07,-0.002646652411203804,
0.011,2.917806887964781e-07,-0.002646652411203804,
0.012,3.782963135287275e-07,-0.002646652411203804,
0.013000000000000001,3.9646235948943514e-07,-0.002646652411203804,
0.014,4.994442760989275e-07,-0.002646652411203804,
0.015,5.770644008655331e-07,-0.002646652411203804,
0.016,6.803751536830254e-07,-0.002646652411203804,
0.017,7.436583954344482e-07,-0.002646652411203804,
0.018000000000000002,9.116612744219755e-07,-0.002646652411203804,
0.019,1.0568230797892667e-06,-0.002646652411203804,
0.02,1.2858045369034637e-06,-0.002646652411203804,
0.021,0.30842464943134107,-0.002646652411203804,
0.022,0.43565921920779294,-0.002646652411203804,
0.023,0.5600369244285401,-0.002646652411203804,
0.024,0.6810422896472926,-0.002646652411203804,
0.025,0.7987611874019809,-0.002646652411203804,
0.026000000000000002,0.9134334538828359,-0.002646652411203804,
0.027,1.0253264599687988,-0.002646652411203804,
0.028,1.134703905791137,-0.002646652411203804,
0.029,1.2418016611907319,-0.002646652411203804,
0.03,1.3468336701316002,-0.002646652411203804,
0.031,1.4499903125187592,-0.002646652411203804,
0.032,1.5514408168230605,-0.002646652411203804,
0.033,1.6513352835037214,-0.002646652411203804,
0.034,1.7498071805706061,-0.002646652411203804,
0.035,1.8469754115796768,-0.002646652411203804,
0.036000000000000004,1.9429460222044759,-0.002646652411203804,
0.037,2.037813951235557,-0.002646652411203804,
0.038,2.1316643739857133,-0.002646652411203804,
0.039,2.224573947147276,-0.002646652411203804,
