J, Xi, Mu_f 
0.0,0.0,-0.003099727153312387,
0.01,3.054243764279928e-09,-0.003099727153312387,
0.02,5.565279946179254e-09,-0.003099727153312387,
0.03,9.492530970133935e-09,-0.003099727153312387,
0.04,1.1592762951568476e-08,-0.003099727153312387,
0.05,1.6511026542962565e-08,-0.003099727153312387,
0.06,1.824518827951222e-08,-0.003099727153312387,
0.07,2.4303314473266362e-08,-0.003099727153312387,
0.08,2.5715420782915727e-08,-0.003099727153312387,
0.09,2.687939126414303e-08,-0.003099727153312387,
0.1,3.423639206811545e-08,-0.003099727153312387,
0.11,3.518240315265584e-08,-0.003099727153312387,
0.12000000000000001,3.598405735620943e-08,-0.003099727153312387,
0.13,4.487254674890226e-08,-0.003099727153312387,
0.14,4.5558426872931926e-08,-0.003099727153312387,
0.15000000000000002,4.61853975108747e-08,-0.003099727153312387,
0.16,5.69518690712772e-08,-0.003099727153312387,
0.17,5.757864989820261e-08,-0.003099727153312387,
0.18,5.822401471235876e-08,-0.003099727153312387,
0.19,7.136861159069275e-08,-0.003099727153312387,
0.2,7.216190926168513e-08,-0.003099727153312387,
0.21000000000000002,7.305390117218226e-08,-0.003099727153312387,
0.22,7.40671428855556e-08,-0.003099727153312387,
0.23,9.054183975488753e-08,-0.003099727153312387,
0.24000000000000002,9.198428978311423e-08,-0.003099727153312387,
0.25,9.364741952324599e-08,-0.003099727153312387,
0.26,9.5558658809198e-08,-0.003099727153312387,
0.27,9.774739221050148e-08,-0.003099727153312387,
0.28,1.002456822460374e-07,-0.003099727153312387,
0.29000000000000004,1.0308905120880184e-07,-0.003099727153312387,
0.3,1.0631735561303251e-07,-0.003099727153312387,
0.31,1.3068480855269895e-07,-0.003099727153312387,
0.32,1.353890053734453e-07,-0.003099727153312387,
0.32999999999999996,1.4071928025566386e-07,-0.003099727153312387,
0.33999999999999997,1.4675402718924512e-07,-0.003099727153312387,
0.35,1.300697290058274e-07,-0.003099727153312387,
0.36,1.3683478349624585e-07,-0.003099727153312387,
0.37,1.4449376177092627e-07,-0.003099727153312387,
0.38,1.531767653017999e-07,-0.003099727153312387,
0.39,1.6303816251606222e-07,-0.003099727153312387,
0.4,1.7426199013413835e-07,-0.003099727153312387,
0.41000000000000003,1.8706873897621304e-07,-0.003099727153312387,
0.42000000000000004,1.727306466387613e-07,-0.003099727153312387,
0.43000000000000005,1.8743036588826675e-07,-0.003099727153312387,
0.44,2.043753117639086e-07,-0.003099727153312387,
0.45,1.9269538030745556e-07,-0.003099727153312387,
0.46,2.126431757821114e-07,-0.003099727153312387,
0.47000000000000003,2.036302722406998e-07,-0.003099727153312387,
0.48000000000000004,2.276374286624047e-07,-0.003099727153312387,
0.49,2.21641710730082e-07,-0.003099727153312387,
0.5,2.5130299949942593e-07,-0.003099727153312387,
0.51,2.491154769378005e-07,-0.003099727153312387,
0.52,2.4951550780119463e-07,-0.003099727153312387,
0.53,2.526337771577508e-07,-0.003099727153312387,
0.54,2.587099668592988e-07,-0.003099727153312387,
0.55,2.681182240535265e-07,-0.003099727153312387,
0.56,2.8140611789142046e-07,-0.003099727153312387,
0.5700000000000001,2.993534369616812e-07,-0.003099727153312387,
0.58,2.835538218775039e-07,-0.003099727153312387,
0.59,3.112600951540308e-07,-0.003099727153312387,
0.6,3.058937249729696e-07,-0.003099727153312387,
0.61,3.071065585189243e-07,-0.003099727153312387,
0.62,3.155547461807342e-07,-0.003099727153312387,
0.63,3.325766035492229e-07,-0.003099727153312387,
0.64,3.605133206097544e-07,-0.003099727153312387,
0.65,3.577630331287092e-07,-0.003099727153312387,
0.6599999999999999,3.6906299665206514e-07,-0.003099727153312387,
0.6699999999999999,3.9791230402302515e-07,-0.003099727153312387,
0.6799999999999999,4.0238942093696795e-07,-0.003099727153312387,
0.69,3.869949650729384e-07,-0.003099727153312387,
0.7,4.0293250863492024e-07,-0.003099727153312387,
0.71,4.139170130565721e-07,-0.003099727153312387,
0.72,4.3260265579399544e-07,-0.003099727153312387,
0.73,4.3184164105103665e-07,-0.003099727153312387,
0.74,4.434812666846282e-07,-0.003099727153312387,
0.75,4.777921448166284e-07,-0.003099727153312387,
0.76,5.051073176459318e-07,-0.003099727153312387,
0.77,5.068892191477249e-07,-0.003099727153312387,
0.7799999999999999,5.458716721418994e-07,-0.003099727153312387,
0.7899999999999999,5.559048889169908e-07,-0.003099727153312387,
0.8,0.21468006012537497,-0.003099727153312387,
0.81,0.24762397226906507,-0.003099727153312387,
0.8200000000000001,0.27996334028657177,-0.003099727153312387,
0.8300000000000001,0.31232467658260626,-0.003099727153312387,
0.8400000000000001,0.34465938101908655,-0.003099727153312387,
0.8500000000000001,0.37690129634822694,-0.003099727153312387,
0.8600000000000001,0.40900469944743023,-0.003099727153312387,
0.8700000000000001,0.44093895599955896,-0.003099727153312387,
0.88,0.4726839256636126,-0.003099727153312387,
0.89,0.504226780588365,-0.003099727153312387,
0.9,0.535559659550846,-0.003099727153312387,
0.91,0.5666783532293167,-0.003099727153312387,
0.92,0.5975810384184878,-0.003099727153312387,
0.93,0.6282678846791602,-0.003099727153312387,
0.9400000000000001,0.6587402999686521,-0.003099727153312387,
0.9500000000000001,0.6890006440319842,-0.003099727153312387,
0.96,0.7190520324674877,-0.003099727153312387,
0.97,0.7488979148413341,-0.003099727153312387,
0.98,0.7785422250768796,-0.003099727153312387,
0.99,0.8079889758339422,-0.003099727153312387,
