J, Xi, Mu_f 
0.0,0.0,6.938893903907228e-17,
0.01,7.294960514880637e-11,6.938893903907228e-17,
0.02,1.659441004290577e-10,6.938893903907228e-17,
0.03,2.3089650657911746e-10,6.938893903907228e-17,
0.04,3.5608490477987913e-10,6.938893903907228e-17,
0.05,4.2341335319655833e-10,6.938893903907228e-17,
0.06,4.904194209278238e-10,6.938893903907228e-17,
0.07,6.79625979116658e-10,6.938893903907228e-17,
0.08,7.682924129321122e-10,6.938893903907228e-17,
0.09,8.671693478130091e-10,6.938893903907228e-17,
0.1,9.803684503787897e-10,6.938893903907228e-17,
0.11,1.1126414002041221e-09,6.938893903907228e-17,
0.12,1.269707759490937e-09,6.938893903907228e-17,
0.13,1.4586576243232944e-09,6.938893903907228e-17,
0.14,1.4331301458139376e-09,6.938893903907228e-17,
0.15000000000000002,1.6795332331031687e-09,6.938893903907228e-17,
0.16,1.6991704384787548e-09,6.938893903907228e-17,
0.17,2.0355373737748456e-09,6.938893903907228e-17,
0.18,2.1236437419836805e-09,6.938893903907228e-17,
0.19,2.255152432564013e-09,6.938893903907228e-17,
0.2,2.4378662327318235e-09,6.938893903907228e-17,
0.21000000000000002,2.6829316027640385e-09,6.938893903907228e-17,
0.22,3.0059557682420532e-09,6.938893903907228e-17,
0.23,3.0176427483439302e-09,6.938893903907228e-17,
0.24,3.5177416209874205e-09,6.938893903907228e-17,
0.25,3.7028250521474703e-09,6.938893903907228e-17,
0.26,3.998176187027482e-09,6.938893903907228e-17,
0.27,4.42765134397833e-09,6.938893903907228e-17,
0.27999999999999997,4.512737014520996e-09,6.938893903907228e-17,
0.29,4.751941054743802e-09,6.938893903907228e-17,
0.3,5.168214029970107e-09,6.938893903907228e-17,
0.31,5.803799509531941e-09,6.938893903907228e-17,
0.32,6.131838815828562e-09,6.938893903907228e-17,
0.33,6.735673904187317e-09,6.938893903907228e-17,
0.34,7.06239990036884e-09,6.938893903907228e-17,
0.35,7.750559571940387e-09,6.938893903907228e-17,
0.36,8.234316258500959e-09,6.938893903907228e-17,
0.37,8.560095716771583e-09,6.938893903907228e-17,
0.38,9.437890467525924e-09,6.938893903907228e-17,
0.39,1.0320534757397149e-08,6.938893903907228e-17,
0.4,1.1309486497680599e-08,6.938893903907228e-17,
0.41000000000000003,1.182907088258794e-08,6.938893903907228e-17,
0.42000000000000004,1.3467566815575963e-08,6.938893903907228e-17,
0.43000000000000005,1.428305910151377e-08,6.938893903907228e-17,
0.44,1.6024972408824744e-08,6.938893903907228e-17,
0.45,1.757358555882488e-08,6.938893903907228e-17,
0.46,1.9425552865083902e-08,6.938893903907228e-17,
0.47000000000000003,2.2308646021305454e-08,6.938893903907228e-17,
0.48,2.4809619110740617e-08,6.938893903907228e-17,
0.49,2.8406117546149653e-08,6.938893903907228e-17,
0.5,3.3745865458608536e-08,6.938893903907228e-17,
0.51,3.9349626265051675e-08,6.938893903907228e-17,
0.52,4.8090298746454467e-08,6.938893903907228e-17,
0.53,5.940310297580118e-08,6.938893903907228e-17,
0.54,7.869747180695179e-08,6.938893903907228e-17,
0.55,1.1387212409347836e-07,6.938893903907228e-17,
0.56,1.984524082414526e-07,6.938893903907228e-17,
0.5700000000000001,7.012332805786967e-07,6.938893903907228e-17,
0.5800000000000001,0.00048533421191165736,6.938893903907228e-17,
0.5900000000000001,0.0008036566914341645,6.938893903907228e-17,
0.6000000000000001,0.0010369576482897496,6.938893903907228e-17,
0.6100000000000001,0.0012349433173863458,6.938893903907228e-17,
0.6200000000000001,0.0014130541731080077,6.938893903907228e-17,
0.6300000000000001,0.08571769314140382,6.938893903907228e-17,
0.64,0.10844655017566251,6.938893903907228e-17,
0.65,0.12809350235390035,6.938893903907228e-17,
0.66,0.1463788577319841,6.938893903907228e-17,
0.67,0.16359686615310934,6.938893903907228e-17,
0.68,0.1799490991338507,6.938893903907228e-17,
0.6900000000000001,0.19558683705871804,6.938893903907228e-17,
0.7,0.21062439400551025,6.938893903907228e-17,
0.71,0.2251495766258336,6.938893903907228e-17,
0.72,0.23923115643406143,6.938893903907228e-17,
0.73,0.2529240280373204,6.938893903907228e-17,
0.74,0.2662727785181347,6.938893903907228e-17,
0.75,0.279314186973601,6.938893903907228e-17,
0.76,0.2920790119974949,6.938893903907228e-17,
0.77,0.30459328724701284,6.938893903907228e-17,
0.78,0.31687928383425296,6.938893903907228e-17,
0.79,0.32895623669898527,6.938893903907228e-17,
0.8,0.34084089677561225,6.938893903907228e-17,
0.81,0.3525479619766784,6.938893903907228e-17,
0.8200000000000001,0.3640904162620716,6.938893903907228e-17,
0.8300000000000001,0.37547979733568776,6.938893903907228e-17,
0.8400000000000001,0.38672641605718633,6.938893903907228e-17,
0.8500000000000001,0.39783953054711607,6.938893903907228e-17,
0.8600000000000001,0.4088274934048188,6.938893903907228e-17,
0.8700000000000001,0.419697869932129,6.938893903907228e-17,
0.88,0.4304575382671739,6.938893903907228e-17,
0.89,0.44111277524833903,6.938893903907228e-17,
0.9,0.4516693254067509,6.938893903907228e-17,
0.91,0.46213246433354255,6.938893903907228e-17,
0.92,0.4725070469535577,6.938893903907228e-17,
0.93,0.4827975559560016,6.938893903907228e-17,
0.94,0.4930081384405063,6.938893903907228e-17,
0.95,0.5031426396656297,6.938893903907228e-17,
0.96,0.5132046343894234,6.938893903907228e-17,
0.97,0.5231974493779732,6.938893903907228e-17,
0.98,0.5331241898674998,6.938893903907228e-17,
0.99,0.5429877559917831,6.938893903907228e-17,
1.0,0.5527908637991141,6.938893903907228e-17,
1.01,0.5625360592735109,6.938893903907228e-17,
1.02,0.5722257329533204,6.938893903907228e-17,
1.03,0.5818621325991071,6.938893903907228e-17,
1.04,0.5914473741474615,6.938893903907228e-17,
1.05,0.6009834536001661,6.938893903907228e-17,
1.06,0.6104722537850976,6.938893903907228e-17,
1.07,0.6199155539391328,6.938893903907228e-17,
1.08,0.6293150384767007,6.938893903907228e-17,
1.09,0.6386723010752996,6.938893903907228e-17,
1.1,0.6479888537081205,6.938893903907228e-17,
1.11,0.6572661311068838,6.938893903907228e-17,
1.12,0.6665054949492522,6.938893903907228e-17,
1.1300000000000001,0.6757082408144722,6.938893903907228e-17,
1.1400000000000001,0.6848756010817028,6.938893903907228e-17,
1.1500000000000001,0.6940087496632313,6.938893903907228e-17,
1.1600000000000001,0.7031088043401107,6.938893903907228e-17,
1.1700000000000002,0.7121768322313501,6.938893903907228e-17,
1.1800000000000002,0.7212138515490264,6.938893903907228e-17,
1.1900000000000002,0.7302208348542055,6.938893903907228e-17,
