J, Xi, Mu_f 
0.0,0.0,6.938893903907228e-17,
0.01,2.8019583588241556e-09,6.938893903907228e-17,
0.02,1.283163003819408e-08,6.938893903907228e-17,
0.03,0.0010738854720997015,6.938893903907228e-17,
0.04,0.002493091347034779,6.938893903907228e-17,
0.05,0.0034897964621636397,6.938893903907228e-17,
0.06,0.004379660845537244,6.938893903907228e-17,
0.07,0.005231474447434108,6.938893903907228e-17,
0.08,0.006073559379066664,6.938893903907228e-17,
0.09,0.0069205565312907315,6.938893903907228e-17,
0.1,0.007781170536967075,6.938893903907228e-17,
0.11,0.008661258257960531,6.938893903907228e-17,
0.12,0.009565282460143537,6.938893903907228e-17,
0.13,0.010497033981254279,6.938893903907228e-17,
0.14,0.011459975027380484,6.938893903907228e-17,
0.15000000000000002,0.012457378124605529,6.938893903907228e-17,
0.16,0.013492380483211252,6.938893903907228e-17,
0.17,0.014568046367541306,6.938893903907228e-17,
0.18,0.015687498453563285,6.938893903907228e-17,
0.19,0.01685413910985029,6.938893903907228e-17,
0.2,0.01807192119123203,6.938893903907228e-17,
0.21000000000000002,0.019345587388161667,6.938893903907228e-17,
0.22,0.020680797706639015,6.938893903907228e-17,
0.23,0.022084091536118868,6.938893903907228e-17,
0.24,0.023562674969787166,6.938893903907228e-17,
0.25,0.025124065012192606,6.938893903907228e-17,
0.26,0.026775648067336656,6.938893903907228e-17,
0.27,0.02852424050405217,6.938893903907228e-17,
0.27999999999999997,0.030375741888362714,6.938893903907228e-17,
0.29,0.03233495495380037,6.938893903907228e-17,
0.3,0.03440559659115011,6.938893903907228e-17,
0.31,0.03659047886739788,6.938893903907228e-17,
0.32,0.038891781349251475,6.938893903907228e-17,
0.33,0.04131134513337207,6.938893903907228e-17,
0.34,0.04385090707131763,6.938893903907228e-17,
0.35,0.04651222149697637,6.938893903907228e-17,
0.36,0.04929703783747934,6.938893903907228e-17,
0.37,0.05220695059435736,6.938893903907228e-17,
0.38,0.05524315476939178,6.938893903907228e-17,
0.39,0.0584061924818915,6.938893903907228e-17,
0.4,0.061695755355189945,6.938893903907228e-17,
0.41000000000000003,0.06511060974689842,6.938893903907228e-17,
0.42000000000000004,0.06864865033400243,6.938893903907228e-17,
0.43000000000000005,0.07230707888617466,6.938893903907228e-17,
0.44,0.07608265928985584,6.938893903907228e-17,
0.45,0.07997200014311223,6.938893903907228e-17,
0.46,0.08397182986884066,6.938893903907228e-17,
0.47000000000000003,0.0880792191837752,6.938893903907228e-17,
0.48,0.09229174619679621,6.938893903907228e-17,
0.49,0.09660758767575199,6.938893903907228e-17,
0.5,0.10102554016671053,6.938893903907228e-17,
0.51,0.10554497685666689,6.938893903907228e-17,
0.52,0.11016575189316354,6.938893903907228e-17,
0.53,0.11488806370785909,6.938893903907228e-17,
0.54,0.11971230251629357,6.938893903907228e-17,
0.55,0.12463888841800402,6.938893903907228e-17,
0.56,0.12966812400664293,6.938893903907228e-17,
0.5700000000000001,0.13480007059857735,6.938893903907228e-17,
0.5800000000000001,0.14003445669590525,6.938893903907228e-17,
0.5900000000000001,0.1453706226629549,6.938893903907228e-17,
0.6000000000000001,0.1508074975515926,6.938893903907228e-17,
0.6100000000000001,0.15634361202662497,6.938893903907228e-17,
0.6200000000000001,0.16197713002290307,6.938893903907228e-17,
0.6300000000000001,0.16770590035674574,6.938893903907228e-17,
0.64,0.17352751435423378,6.938893903907228e-17,
0.65,0.1794393719919302,6.938893903907228e-17,
0.66,0.18543873747617468,6.938893903907228e-17,
0.67,0.19152279740864134,6.938893903907228e-17,
0.68,0.19768870238411487,6.938893903907228e-17,
0.6900000000000001,0.20393360852767178,6.938893903907228e-17,
0.7,0.210254702815807,6.938893903907228e-17,
0.71,0.21664922678792375,6.938893903907228e-17,
0.72,0.22311449092726413,6.938893903907228e-17,
0.73,0.22964788722354057,6.938893903907228e-17,
0.74,0.23624689261215984,6.938893903907228e-17,
0.75,0.24290907474788284,6.938893903907228e-17,
0.76,0.24963209300992087,6.938893903907228e-17,
0.77,0.25641369845335826,6.938893903907228e-17,
0.78,0.2632517321092241,6.938893903907228e-17,
0.79,0.27014412503195745,6.938893903907228e-17,
0.8,0.27708889265512526,6.938893903907228e-17,
0.81,0.2840841338590051,6.938893903907228e-17,
0.8200000000000001,0.2911280272281919,6.938893903907228e-17,
0.8300000000000001,0.29821882766228996,6.938893903907228e-17,
0.8400000000000001,0.3053548629118189,6.938893903907228e-17,
0.8500000000000001,0.3125345301026015,6.938893903907228e-17,
0.8600000000000001,0.3197562918084698,6.938893903907228e-17,
0.8700000000000001,0.3270186746418392,6.938893903907228e-17,
0.88,0.33432026307115015,6.938893903907228e-17,
0.89,0.34165969823216696,6.938893903907228e-17,
0.9,0.34903567444710076,6.938893903907228e-17,
0.91,0.3564469363771504,6.938893903907228e-17,
0.92,0.3638922763278321,6.938893903907228e-17,
0.93,0.3713705312367088,6.938893903907228e-17,
0.94,0.3788805821666001,6.938893903907228e-17,
0.95,0.3864213492562674,6.938893903907228e-17,
0.96,0.39399179149601266,6.938893903907228e-17,
0.97,0.40159090430783756,6.938893903907228e-17,
0.98,0.40921771726773737,6.938893903907228e-17,
0.99,0.41687129422232116,6.938893903907228e-17,
1.0,0.4245507290001025,6.938893903907228e-17,
1.01,0.4322551457388609,6.938893903907228e-17,
1.02,0.4399836970694348,6.938893903907228e-17,
1.03,0.4477355623918472,6.938893903907228e-17,
1.04,0.4555099484774987,6.938893903907228e-17,
1.05,0.46330608569601106,6.938893903907228e-17,
1.06,0.4711232287519669,6.938893903907228e-17,
1.07,0.4789606548398542,6.938893903907228e-17,
1.08,0.48681766449839864,6.938893903907228e-17,
1.09,0.49469357815209597,6.938893903907228e-17,
1.1,0.5025877366249865,6.938893903907228e-17,
1.11,0.5104995016604756,6.938893903907228e-17,
1.12,0.518428252700804,6.938893903907228e-17,
1.1300000000000001,0.5263733874811275,6.938893903907228e-17,
1.1400000000000001,0.5343343226369474,6.938893903907228e-17,
1.1500000000000001,0.5423104906679344,6.938893903907228e-17,
1.1600000000000001,0.5503013409970717,6.938893903907228e-17,
1.1700000000000002,0.558306338617812,6.938893903907228e-17,
1.1800000000000002,0.5663249652552327,6.938893903907228e-17,
1.1900000000000002,0.5743567164079528,6.938893903907228e-17,
