J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,6.603786258193374e-11,-0.002646652411203804,
0.002,1.132346467496642e-10,-0.002646652411203804,
0.003,1.8240895018926892e-10,-0.002646652411203804,
0.004,2.6261157723004447e-10,-0.002646652411203804,
0.005,3.563613982567987e-10,-0.002646652411203804,
0.006,3.809225065808778e-10,-0.002646652411203804,
0.007,4.892257317006748e-10,-0.002646652411203804,
0.008,5.08329879423379e-10,-0.002646652411203804,
0.009000000000000001,6.382640628424822e-10,-0.002646652411203804,
0.01,6.579305893062008e-10,-0.002646652411203804,
0.011,8.187809625846745e-10,-0.002646652411203804,
0.012,8.453832452479525e-10,-0.002646652411203804,
0.013000000000000001,1.0500710547600547e-09,-0.002646652411203804,
0.014,1.0916215991841775e-09,-0.002646652411203804,
0.015,1.1419511785803127e-09,-0.002646652411203804,
0.016,1.202820790628078e-09,-0.002646652411203804,
0.017,1.2762501749639238e-09,-0.002646652411203804,
0.018000000000000002,1.3646309218248415e-09,-0.002646652411203804,
0.019,1.470856403088917e-09,-0.002646652411203804,
0.02,1.5984784689370852e-09,-0.002646652411203804,
0.021,1.7519027769783166e-09,-0.002646652411203804,
0.022,1.9366374485561745e-09,-0.002646652411203804,
0.023,2.1596145601773423e-09,-0.002646652411203804,
0.024,2.1007493726359877e-09,-0.002646652411203804,
0.025,2.3919416833094094e-09,-0.002646652411203804,
0.026000000000000002,2.3908231164723543e-09,-0.002646652411203804,
0.027,2.7800590378986067e-09,-0.002646652411203804,
0.028,2.8555200425374752e-09,-0.002646652411203804,
0.029,2.977819029239754e-09,-0.002646652411203804,
0.03,3.1526850295432985e-09,-0.002646652411203804,
0.031,3.3885565086996163e-09,-0.002646652411203804,
0.032,3.697252727950347e-09,-0.002646652411203804,
0.033,3.6399422893624843e-09,-0.002646652411203804,
0.034,4.104429602664164e-09,-0.002646652411203804,
0.035,4.20068100643461e-09,-0.002646652411203804,
0.036000000000000004,4.389351651631292e-09,-0.002646652411203804,
0.037,4.682123447947237e-09,-0.002646652411203804,
0.038,5.0979043124407655e-09,-0.002646652411203804,
0.039,5.12695164045924e-09,-0.002646652411203804,
