J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.8081342553809856e-08,-0.002646652411203804,
0.002,4.0456385351387815e-08,-0.002646652411203804,
0.003,7.171452181291323e-08,-0.002646652411203804,
0.004,9.948124772156173e-08,-0.002646652411203804,
0.005,1.1733905610749524e-07,-0.002646652411203804,
0.006,1.457994391033357e-07,-0.002646652411203804,
0.007,1.9306003122812142e-07,-0.002646652411203804,
0.008,2.3804179563130618e-07,-0.002646652411203804,
0.009000000000000001,2.8256607587275816e-07,-0.002646652411203804,
0.01,3.332590655325213e-07,-0.002646652411203804,
0.011,4.0259645382073354e-07,-0.002646652411203804,
0.012,5.133748053969741e-07,-0.002646652411203804,
0.013000000000000001,5.906319313164528e-07,-0.002646652411203804,
0.014,7.282941142238529e-07,-0.002646652411203804,
0.015,8.185438641909302e-07,-0.002646652411203804,
0.016,1.0470985168796857e-06,-0.002646652411203804,
0.017,1.268657112332382e-06,-0.002646652411203804,
0.018000000000000002,1.6057912013182075e-06,-0.002646652411203804,
0.019,2.0442261405074627e-06,-0.002646652411203804,
0.02,0.22929993857713948,-0.002646652411203804,
0.021,0.34233552104081827,-0.002646652411203804,
0.022,0.46027053342241553,-0.002646652411203804,
0.023,0.5786164300119722,-0.002646652411203804,
0.024,0.6954930934361541,-0.002646652411203804,
0.025,0.8102358089840276,-0.002646652411203804,
0.026000000000000002,0.9226710583787188,-0.002646652411203804,
0.027,1.0328266659852725,-0.002646652411203804,
0.028,1.1408196700378377,-0.002646652411203804,
0.029,1.2467918065327162,-0.002646652411203804,
0.03,1.3508937516004764,-0.002646652411203804,
0.031,1.4532719064574604,-0.002646652411203804,
0.032,1.5540637450345567,-0.002646652411203804,
0.033,1.653396064112436,-0.002646652411203804,
0.034,1.7513846792813383,-0.002646652411203804,
0.035,1.8481348866602747,-0.002646652411203804,
0.036000000000000004,1.943742053878494,-0.002646652411203804,
0.037,2.0382926141467683,-0.002646652411203804,
0.038,2.131864919091748,-0.002646652411203804,
0.039,2.2245299324314263,-0.002646652411203804,
