J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.7218816952325028e-10,-0.002646652411203804,
0.002,3.263022443239635e-10,-0.002646652411203804,
0.003,4.940422333542724e-10,-0.002646652411203804,
0.004,7.082784634797909e-10,-0.002646652411203804,
0.005,8.452777214725798e-10,-0.002646652411203804,
0.006,1.2483288428147852e-09,-0.002646652411203804,
0.007,1.370693330417097e-09,-0.002646652411203804,
0.008,1.624321656755417e-09,-0.002646652411203804,
0.009000000000000001,2.0902997863931346e-09,-0.002646652411203804,
0.01,2.207282501366452e-09,-0.002646652411203804,
0.011,2.6397682835815333e-09,-0.002646652411203804,
0.012,3.168784235157597e-09,-0.002646652411203804,
0.013000000000000001,3.4974546832841344e-09,-0.002646652411203804,
0.014,4.215923563955131e-09,-0.002646652411203804,
0.015,4.713771768186211e-09,-0.002646652411203804,
0.016,5.465512369735949e-09,-0.002646652411203804,
0.017,6.440593435759332e-09,-0.002646652411203804,
0.018000000000000002,7.238803988960162e-09,-0.002646652411203804,
0.019,8.345352765611569e-09,-0.002646652411203804,
0.02,9.722576276506665e-09,-0.002646652411203804,
0.021,0.3084799087053004,-0.002646652411203804,
0.022,0.435719122788853,-0.002646652411203804,
0.023,0.560099956767945,-0.002646652411203804,
0.024,0.6811075586787478,-0.002646652411203804,
0.025,0.798828234956292,-0.002646652411203804,
0.026000000000000002,0.9135018952444279,-0.002646652411203804,
0.027,1.0253978405680468,-0.002646652411203804,
0.028,1.1347758673050818,-0.002646652411203804,
0.029,1.241874074784605,-0.002646652411203804,
0.03,1.3469063389676939,-0.002646652411203804,
0.031,1.4500631482477355,-0.002646652411203804,
0.032,1.5515136592766936,-0.002646652411203804,
0.033,1.6514080469709527,-0.002646652411203804,
0.034,1.7498797898816945,-0.002646652411203804,
0.035,1.8470477560846528,-0.002646652411203804,
0.036000000000000004,1.943018047004746,-0.002646652411203804,
0.037,2.037885607115401,-0.002646652411203804,
0.038,2.1317356185197127,-0.002646652411203804,
0.039,2.2246447036372503,-0.002646652411203804,
